# id r g b
0 0 142 255
1 0 19 255
2 164 0 255
3 60 255 0
4 255 83 0
5 0 255 185
6 244 255 0
7 0 203 255
8 0 255 62
9 0 81 255
10 42 0 255
11 103 0 255
12 225 0 255
13 255 0 223
14 255 0 162
15 255 0 101
16 255 0 40
17 255 21 0
18 255 144 0
19 255 205 0
20 183 255 0
21 121 255 0
22 0 255 1
23 0 255 123
24 0 255 246
25 47 161 247
26 47 113 247
27 47 65 247
28 77 47 247
644 24 131 65
501 9 145 208
1220 135 206 188
1098 26 51 196
913 240 178 77
1117 89 229 23
518 129 208 9
744 146 248 127
505 64 9 208
587 237 148 134
297 38 200 156
1036 197 109 61
1258 184 54 17
143 38 221 45
1127 156 135 206
921 77 240 165
434 196 110 26
213 218 171 118
709 219 32 113
738 248 176 127
761 248 127 127
1182 188 37 47
76 127 185 248
916 185 240 77
849 102 150 239
586 237 134 145
482 206 135 171
412 218 188 118
677 47 65 247
1180 188 37 120
1039 187 197 61
1287 131 99 24
1176 111 37 188
1024 77 227 240
155 180 51 163
189 205 239 102
354 122 77 240
408 218 118 144
1055 218 118 216
1183 188 63 37
1058 218 118 144
1086 196 192 26
447 26 91 196
324 4 51 211
253 112 77 240
881 165 104 237
720 32 219 71
601 107 17 184
359 240 77 162
449 42 26 196
822 51 153 180
1263 114 184 17
227 104 171 237
1013 240 149 77
29 125 47 247
920 77 240 125
1139 193 206 135
650 0 203 255
584 237 134 195
95 127 248 137
316 34 211 4
1118 39 229 23
390 154 197 61
1206 206 135 179
1090 37 196 26
217 169 218 118
591 227 237 134
1071 118 218 204
874 118 201 218
1226 134 186 237
1281 131 24 103
1129 190 135 206
997 41 204 196
68 83 219 32
792 75 221 38
735 248 127 166
239 237 154 104
303 156 4 211
1275 24 43 131
373 77 240 214
138 221 191 38
535 188 135 37
759 248 127 185
903 112 77 240
1008 240 77 201
488 206 202 135
529 188 37 156
199 102 150 239
1089 78 196 26
228 104 139 237
558 206 135 145
1259 184 94 17
159 180 63 51
513 208 48 9
168 51 180 83
1293 24 131 39
173 51 122 180
238 237 122 104
379 153 61 197
1232 230 134 237
902 77 81 240
426 124 26 196
1240 237 222 134
397 61 197 196
801 73 51 180
616 17 184 40
555 206 135 196
94 146 248 127
171 51 180 176
193 102 239 131
1015 240 227 77
128 118 38 221
1085 196 151 26
205 179 118 218
669 60 255 0
1112 229 122 23
865 217 218 118
417 128 218 118
989 199 204 41
372 77 240 175
809 180 63 51
457 229 23 171
1051 124 118 218
1119 23 229 56
1135 206 150 135
247 104 237 143
1061 218 164 118
1025 61 100 197
1048 61 165 197
846 102 239 229
56 190 32 219
30 173 47 247
950 7 4 211
222 118 218 187
229 104 107 237
75 127 214 248
1052 148 118 218
383 197 61 111
335 204 52 41
695 47 247 93
1054 196 118 218
1045 61 197 131
1101 23 56 229
619 17 184 161
938 200 130 38
915 224 240 77
813 174 180 51
508 207 9 208
794 38 221 88
493 135 206 145
684 247 47 129
96 127 248 166
356 201 77 240
1081 196 26 64
294 38 200 40
1217 135 206 137
380 185 61 197
77 127 156 248
223 118 218 211
726 127 185 248
71 32 219 115
92 204 248 127
1040 154 197 61
928 66 38 200
1059 218 118 120
283 200 38 140
1186 188 172 37
540 59 188 37
63 219 130 32
1065 176 218 118
1192 37 188 87
843 102 239 131
1157 159 9 208
1193 37 188 123
929 105 38 200
41 193 247 47
636 131 73 24
817 51 180 52
614 74 184 17
907 240 77 211
334 204 41 69
779 162 38 221
585 237 134 170
307 211 4 67
90 248 234 127
752 127 146 248
431 196 26 64
945 38 200 79
867 169 218 118
914 240 217 77
692 145 247 47
782 221 38 149
1243 178 237 134
610 184 134 17
963 183 211 4
667 183 255 0
622 17 87 184
1235 237 134 170
790 163 221 38
263 240 178 77
583 237 134 219
1298 24 94 131
341 121 204 41
509 208 9 161
795 38 221 132
825 102 117 239
510 208 9 113
456 229 23 220
231 165 104 237
1267 17 184 80
577 134 162 237
67 128 219 32
714 219 175 32
528 184 37 188
1271 17 127 184
1028 120 61 197
374 77 227 240
1016 214 240 77
808 180 51 70
553 182 135 206
1257 184 17 20
980 183 41 204
136 221 103 38
467 89 229 23
160 180 94 51
139 207 221 38
313 183 211 4
603 184 17 181
661 255 0 40
157 180 51 101
848 102 183 239
483 206 135 154
141 119 221 38
670 0 255 1
1126 139 135 206
69 38 219 32
1289 111 131 24
1175 75 37 188
113 248 186 127
858 218 118 185
1223 135 173 206
288 200 130 38
611 184 174 17
309 211 40 4
1227 134 162 237
700 32 143 219
582 230 134 237
254 151 77 240
662 255 21 0
570 135 206 188
1073 118 184 218
947 38 200 156
499 135 165 206
89 248 205 127
643 24 131 39
293 75 200 38
935 200 38 62
1233 237 134 219
1105 188 23 229
102 127 146 248
532 188 37 47
1000 77 188 240
1064 200 218 118
325 41 95 204
942 114 200 38
544 37 188 160
198 102 183 239
1103 89 23 229
262 240 138 77
563 201 206 135
279 105 38 200
450 23 105 229
220 118 218 139
1035 197 76 61
469 23 229 56
471 23 229 155
1130 206 135 205
724 32 188 219
367 175 240 77
973 4 100 211
345 41 204 117
713 219 130 32
47 47 247 189
219 121 218 118
338 204 170 41
653 0 19 255
486 206 167 135
523 9 208 127
691 193 247 47
365 240 227 77
112 248 156 127
246 104 237 111
862 218 147 118
122 127 248 205
409 218 118 120
1095 26 173 196
571 135 206 205
581 205 134 237
631 131 24 103
1255 184 17 101
835 239 142 102
290 192 200 38
195 102 239 197
281 182 38 200
